Year,CensusCode,TotalEst,CensusCode2,Name,Unsheltered,Sheltered,Total
2016,800329a,0,800329a,Agoura Hills,0,0,
2016,800329b,0,800329b,Unincorporated Santa Monica Mountains,0,0,
2016,800329c,0,800329c,Calabasas,0,0,
2016,800329d,0,800329d,Calabasas,0,0,
2016,800329e,0,800329e,Calabasas,0,0,
2016,800330,0,800330,Unincorporated Santa Monica Mountains,0,0,
2016,800331,0,800331,Westlake Village,0,0,
2016,800332a,0,800332a,Agoura Hills,0,0,
2016,800332b,0,800332b,Agoura Hills,0,0,
2016,800406a,0,800406a,Unincorporated Santa Monica Mountains,0,0,
2016,800406d,0,800406d,Malibu,0,0,
2016,800410a,0,800410a,Unincorporated Santa Monica Mountains,0,0,
2016,800504a,0,800504a,Unincorporated Santa Monica Mountains,0,0,
2016,900507a,0,900507a,Lancaster,0,0,
2016,900507b,0,900507b,Lancaster,0,0,
2016,900508a,0,900508a,Lancaster,0,0,
2016,900508b,0,900508b,Lancaster,0,0,
2016,900804,0,900804,Lancaster,0,0,
2016,901003,0,901003,Lancaster,0,0,
2016,901101a,0,901101a,Quartz Hill,0,0,
2016,901101b,0,901101b,Lancaster,0,0,
2016,901102a,0,901102a,Quartz Hill,0,0,
2016,901102b,0,901102b,Quartz Hill,0,0,
2016,901102c,0,901102c,Lancaster,0,0,
2016,901205a,0,901205a,Lancaster,0,0,
2016,901205b,0,901205b,Lancaster,0,0,
2016,901205c,0,901205c,Lancaster,0,0,
2016,901210,0,901210,Northwest Antelope Valley,0,0,
2016,901213a,0,901213a,Leona Valley,0,0,
2016,901213b,0,901213b,Palmdale,0,0,
2016,910101a,0,910101a,Palmdale,0,0,
2016,910101b,0,910101b,Palmdale,0,0,
2016,910101c,0,910101c,Palmdale,0,0,
2016,910205d,0,910205d,Palmdale,0,0,
2016,910210a,0,910210a,Palmdale,0,0,
2016,910210b,0,910210b,Palmdale,0,0,
2016,910302,0,910302,Palmdale,0,0,
2016,910606,0,910606,Palmdale,0,0,
2016,910705a,0,910705a,Palmdale,0,0,
2016,910705b,0,910705b,Palmdale,0,0,
2016,910711a,0,910711a,Palmdale,0,0,
2016,910711b,0,910711b,Palmdale,0,0,
2016,910713a,0,910713a,Palmdale,0,0,
2016,910713b,0,910713b,Palmdale,0,0,
2016,910805a,0,910805a,Tujunga Canyons,0,0,
2016,910805b,0,910805b,Tujunga Canyons,0,0,
2016,910807a,0,910807a,Castaic Canyons,0,0,
2016,910807b,0,910807b,Santa Clarita,0,0,
2016,910807c,0,910807c,Santa Clarita,0,0,
2016,910813b,0,910813b,Agua Dulce,0,0,
2016,910813c,0,910813c,Agua Dulce,0,0,
2016,910813d,0,910813d,Agua Dulce,0,0,
2016,910813e,0,910813e,Agua Dulce,0,0,
2016,910813f,0,910813f,Agua Dulce,0,0,
2016,920011a,0,920011a,Castaic Canyons,0,0,
2016,920011p,0,920011p,Castaic Canyons,0,0,
2016,920015a,0,920015a,Castaic Canyons,0,0,
2016,920015b,0,920015b,Santa Clarita,0,0,
2016,920015c,0,920015c,Santa Clarita,0,0,
2016,920015d,0,920015d,Castaic Canyons,0,0,
2016,920017,0,920017,Santa Clarita,0,0,
2016,920020a,0,920020a,Castaic Canyons,0,0,
2016,920020b,0,920020b,Castaic Canyons,0,0,
2016,920020c,0,920020c,Castaic Canyons,0,0,
2016,920028a,0,920028a,Castaic Canyons,0,0,
2016,920028b,0,920028b,Santa Clarita,0,0,
2016,920029,0,920029,Santa Clarita,0,0,
2016,920030a,0,920030a,Santa Clarita,0,0,
2016,920030b,0,920030b,Santa Clarita,0,0,
2016,920032a,0,920032a,Castaic Canyons,0,0,
2016,920032b,0,920032b,Castaic Canyons,0,0,
2016,920034a,0,920034a,Castaic Canyons,0,0,
2016,920034b,0,920034b,Castaic Canyons,0,0,
2016,920039,0,920039,Santa Clarita,0,0,
